tick	A	B	C	D	X status	Y status	Z status
0	1000	0	0	0	Waiting	Waiting	Waiting
1	999	0	0	0	Operating	Waiting	Waiting
2	999	0	0	0	Operating	Waiting	Waiting
3	999	0	0	0	Operating	Waiting	Waiting
4	999	0	0	0	Operating	Waiting	Waiting
5	999	0	0	0	Operating	Waiting	Waiting
6	999	0	0	0	Operating	Waiting	Waiting
7	999	0	0	0	Operating	Waiting	Waiting
8	999	0	0	0	Waiting	Operating	Waiting
9	998	0	0	0	Operating	Operating	Waiting
10	998	0	0	0	Operating	Operating	Waiting
11	998	0	0	0	Operating	Operating	Waiting
12	998	0	0	0	Operating	Operating	Waiting
13	998	0	0	0	Operating	Operating	Waiting
14	998	0	0	0	Operating	Operating	Waiting
15	998	0	0	0	Operating	Operating	Waiting
16	998	0	0	0	Operating	Operating	Waiting
17	998	0	0	0	Operating	Operating	Waiting
18	998	0	0	0	Operating	Operating	Waiting
19	998	1	0	0	Waiting	Operating	Waiting
20	997	1	0	0	Operating	Waiting	Operating
21	997	0	0	0	Operating	Operating	Operating
22	997	0	0	0	Operating	Operating	Operating
23	997	0	0	0	Operating	Operating	Operating
24	997	0	0	1	Operating	Operating	Waiting
25	997	0	0	1	Operating	Operating	Waiting
26	997	0	0	1	Operating	Operating	Waiting
27	997	0	0	1	Operating	Operating	Waiting
28	997	1	0	1	Waiting	Operating	Waiting
29	996	1	0	1	Operating	Operating	Waiting
30	996	1	0	1	Operating	Operating	Waiting
31	996	1	0	1	Operating	Operating	Waiting
32	996	1	0	1	Operating	Operating	Waiting
33	996	1	0	1	Operating	Operating	Waiting
34	996	1	0	1	Operating	Operating	Waiting
35	996	1	0	1	Operating	Operating	Waiting
36	996	1	0	1	Operating	Operating	Waiting
37	996	1	0	1	Operating	Operating	Waiting
38	996	1	0	1	Operating	Operating	Waiting
39	996	2	0	1	Waiting	Operating	Waiting
40	995	2	0	1	Operating	Waiting	Operating
41	995	1	0	1	Operating	Operating	Operating
42	995	1	0	1	Operating	Operating	Operating
43	995	1	0	2	Operating	Operating	Waiting
44	995	1	0	2	Operating	Operating	Waiting
45	995	1	0	2	Operating	Operating	Waiting
46	995	1	0	2	Operating	Operating	Waiting
47	995	2	0	2	Waiting	Operating	Waiting
48	994	2	0	2	Operating	Operating	Waiting
49	994	2	0	2	Operating	Operating	Waiting
50	994	2	0	2	Operating	Operating	Waiting
51	994	2	0	2	Operating	Operating	Waiting
52	994	2	0	2	Operating	Operating	Waiting
53	994	2	0	2	Operating	Operating	Waiting
54	994	2	0	2	Operating	Waiting	Operating
55	994	1	0	2	Operating	Operating	Operating
56	994	1	0	2	Operating	Operating	Operating
57	994	2	0	2	Waiting	Operating	Operating
58	993	2	0	3	Operating	Operating	Waiting
59	993	2	0	3	Operating	Operating	Waiting
60	993	2	0	3	Operating	Operating	Waiting
61	993	2	0	3	Operating	Operating	Waiting
62	993	2	0	3	Operating	Operating	Waiting
63	993	2	0	3	Operating	Operating	Waiting
